link,account,timestamp,tweetText,reply,retweet,like
https://twitter.com/iAmUnrefined/status/1421983600862502912,@iAmUnrefined,2021-08-01T23:58:04.000Z,"Unrefined #NFTGiveaway !  Win Mask #74 for FREE.  To enter:  1. Follow, Like and RT  2. Tag 2 #NFT friends  3. Join: ",58,53,63
https://twitter.com/kumabooks/status/1421983505068793860,@kumabooks,2021-08-01T23:57:41.000Z,"#KUMABOOKS #クマブクス #くま #bear #ねこ #cat #本 #book #うさぎ #rabbit #design #デザイン  #イラスト #illustration #アートワーク #artwork #キャラクター #イラストグラム #図書館 #library #NFT",0,0,13
https://twitter.com/aliriza_yuksell/status/1421983066155855874,@aliriza_yuksell,2021-08-01T23:55:56.000Z,"#DeFi #NFT #hodltoken   #btc #eth #doge #ltc #ada #shib #loom #sushi #aave #qtum #xrp #ocean #neo #chz #matic #ada #uni #etc #chr #hot #reef #bel #dia #omg #hot #dent #near #uma #algo #tfb #sfp #dodo #bake #bnb #cake #xlm #vet #zil #ftm #skl #blz #mth #skl #vite #data #dot #sxp",1,0,3
https://twitter.com/MhamadMhanna5/status/1421983045519872004,@MhamadMhanna5,2021-08-01T23:55:51.000Z,"#btc action, check yesterday’s post, i said 7 ema is a key level support and i said it will drop to 39500, and it did touch 9300 and bounced up, check my full post..  #btc #bitcoin #usdt #altcoins #alts #defi #binance #mining #nft #ada #xrp #crypto_exchanger_lb #altseason #rig",1,2,6
https://twitter.com/ewokakuyochi/status/1421982879370805250,@ewokakuyochi,2021-08-01T23:55:12.000Z,New!!!!(๑╹ω╹๑ ) #イラスト好きな人と繋がりたい   #絵柄が好みって人にフォローされたい   #みんなで楽しむTwitter展覧会　#アトリエの系譜　#イラスト　#オリキャラ #一次創作絵師拡散フェス01  #現代アート #NFT #NFTs #NFTCommunity #nftcollector   https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/4481204929877402965858396511445808748399497560959228560207629017761038991361/…,0,11,122
https://twitter.com/Stuz0r/status/1421982786366451716,@Stuz0r,2021-08-01T23:54:50.000Z,I think I may have #NFT'd wrong.,9,1,37
https://twitter.com/GennixDefi/status/1421982664429613060,@GennixDefi,2021-08-01T23:54:21.000Z,2 days to go! Don't missed out the benefits of #presale 1 at $0.2  #Gennix #Defi #nft #blockchain,290,631,522
https://twitter.com/randy1_eth/status/1421982435626024962,@randy1_eth,2021-08-01T23:53:26.000Z,@Stitch_Eyes7824  @Hodlers_NFT  @ApeGangNFT  @haremsnft    And of course  @AboutTextures  but they literally have zero on the secondary market since the last one sold at 1 ETH this morning...#NFT #NFTCommunity,0,1,2
https://twitter.com/irvinethesteve/status/1421982358203518977,@irvinethesteve,2021-08-01T23:53:08.000Z,"Night everyone. Laid the ground work for an ultra cool new #NFT collab today. Think it’s gonna be a beaut.   Shouting out  @penelopeMNT  who’s The Starman has about 2.5hrs to go on #withFND good luck with that.   see you in the other side. ",0,0,4
https://twitter.com/staketoplay/status/1421982328591503363,@staketoplay,2021-08-01T23:53:00.000Z,"Truth is, I need any #CNFT so who on the #Cardano ecosystem has some #NFTs because I am looking to spend recklessly $ADA #NFT",5,3,4
