link,account,timestamp,tweetText,reply,retweet,like
https://twitter.com/princess_web4/status/1510986075887525888,@princess_web4,2022-04-04T14:22:07.000Z,The 10 Best #NFTs to Buy in 2022   #LuckyBlock NFTs  #BoredApeYachtClub  #CryptoPunks #PudgyPenguins #Decentraland #Doodles #autograph #TheGalaktic Gang Collection,0,3,9
https://twitter.com/0x2028/status/1510976826943803395,@0x2028,2022-04-04T13:45:22.000Z,"Welcome Home,Bro! #Meebits #larvalab",10,1,47
https://twitter.com/sacgroIT/status/1510952182199160832,@sacgroIT,2022-04-04T12:07:27.000Z,A very serious question if you can answer:  What thing can make you leave your all NFTs??   #NFTs #BAYC #MAYC #nftcollectors #NFTartists #0xApes_NFT #0xApes #Azuki #CyberBrokers #Meebits #OpenSeaNFT #Cryptos,2,4,9
https://twitter.com/mb__nft/status/1510922298831872006,@mb__nft,2022-04-04T10:08:42.000Z,I think the future is a mix of both. Imagine being able to put on your AR glasses at an exhibition/event and see Meebits and other 3D Metaverse ready characters that can't attend IRL roaming around/chatting. Needs another big leap in the underlying tech but I see it coming.,1,1,6
https://twitter.com/xxsmsmsmxx/status/1510855188286181379,@xxsmsmsmxx,2022-04-04T05:42:01.000Z,今日のNFTはこのあたりゲット✴︎ Meebitsとmfers  もうクローンXもAZUKIも上がりすぎて買いにくくなった卍,3,2,64
https://twitter.com/0xyams/status/1510813148281901056,@0xyams,2022-04-04T02:54:58.000Z,top eth PFPs  bayc 111 punks 69 azuki 26 mayc 24 clonex 20 doodles 16 veefriends 15 WoW 9 cats 8.5 gcg 7.5 bakc 7.2 invisible friends 7,10,14,80
