link,account,timestamp,tweetText,reply,retweet,like
https://twitter.com/WARHODL/status/1422658958095884289,@WARHODL,2021-08-03T20:41:41.000Z," LAST CALL   ""APE ON"" 1/1 Queen's Guard soup can includes Bored Ape #8715 NFT  You’re collecting both a Bored Ape and a 1/1 derivative.   https://opensea.io/assets/0x495f947276749ce646f68ac8c248420045cb7b5e/1669234646752956742131729118005573511948652980581924368403907054069482520577…  #NFT #NFTs #NFTcollector #NFTart #NFTcollectors  @dogemasterbot  @boredapeyc  @herkshire  #boredapes #boredape #bayc",1,0,8
https://twitter.com/paperdstudio/status/1422658564359811072,@paperdstudio,2021-08-03T20:40:08.000Z,Second matching set acquired!  #BAYC  @BoredApeYC,0,0,7
https://twitter.com/trevorjonesart/status/1422658491563618313,@trevorjonesart,2021-08-03T20:39:50.000Z,"The winner of the 1/1 #EthBoy Chapter 1: ΞTHΞRΞAL auction opening tonight will be offered an avatar cameo in Chapter 2. Who do you think will win this?  #CryptoPunk @BoredApeYC @MeebitsDAO @TopDogBeachClub   Other?  More info ",17,10,62
https://twitter.com/ThedankestpepeE/status/1422658174398734345,@ThedankestpepeE,2021-08-03T20:38:35.000Z,Who else can chill in a hot tub as their NFTs? Legendary Polygon Ape 98 @cryptoavatarsio  @kami_kur0  @BoredApeYC    #NFTCommunity #NFT #nftcollector #FOMO $ETH #BAYC,6,12,25
https://twitter.com/ape7458/status/1422655486931968005,@ape7458,2021-08-03T20:27:54.000Z,Coming this fall,0,0,6
https://twitter.com/BabyCoby_/status/1422654488024846339,@BabyCoby_,2021-08-03T20:23:56.000Z,I had no fucking idea where this would end up but it's insane af,0,0,5
https://twitter.com/seniorlecrypto/status/1422654050693271553,@seniorlecrypto,2021-08-03T20:22:11.000Z,Cool as hell,1,0,7
https://twitter.com/0xFREEGAS/status/1422652572133888002,@0xFREEGAS,2021-08-03T20:16:19.000Z,"WAGMI ",1,0,10
https://twitter.com/HelsinkiMystic/status/1422652313546727430,@HelsinkiMystic,2021-08-03T20:15:17.000Z,We making it?,1,0,5
https://twitter.com/SlamDiegoZoo/status/1422651661613342721,@SlamDiegoZoo,2021-08-03T20:12:42.000Z,"Ape & Doggo exhibit looking proper. Show us your matching  @BoredApeYC  Ape/Doggo below. #WAKEnBAYC ",6,3,24
https://twitter.com/boredgentleman/status/1422649895496847363,@boredgentleman,2021-08-03T20:05:41.000Z,"That’s big. ",0,0,5
https://twitter.com/franklinisbored/status/1422649638658662400,@franklinisbored,2021-08-03T20:04:40.000Z,"Well, well, well. @BoredApeYC  X  @ChristiesInc  auction? ",8,24,53
https://twitter.com/F4ntast1cMrF0x/status/1422648656319205390,@F4ntast1cMrF0x,2021-08-03T20:00:45.000Z,Christie's to auction BAYC in Hong Kong in September announced in the Discord by Christie's NFT representative: @BoredApeYC,29,105,286
https://twitter.com/HustleFundVC/status/1422648100875739136,@HustleFundVC,2021-08-03T19:58:33.000Z,We   @BoredApeYC !,2,0,10
https://twitter.com/hawkwardart/status/1422645954348474369,@hawkwardart,2021-08-03T19:50:01.000Z,Be careful but also know this is happening  @KrayTrain  @abcdjabcdjabcdj  Travis you can borrow my ape in spirit to attend lol,0,0,5
https://twitter.com/Loopifyyy/status/1422639960407085056,@Loopifyyy,2021-08-03T19:26:12.000Z,amazing work,1,0,7
https://twitter.com/JRArtSpace_NFT/status/1422638520351481857,@JRArtSpace_NFT,2021-08-03T19:20:29.000Z,Looks like a Cartoon Network background lol SQUAD - Some Great Investments . . . Some Great Regrets lol But we all Family none the less! @BoredApeYC @coolcatsnft @NylaCollection @TopDogBeachClub @strawberry_wtf @DeebiesNFT @PawsInSpace @Animetas1,5,11,48
https://twitter.com/AlexaMeadeArt/status/1422638199764000771,@AlexaMeadeArt,2021-08-03T19:19:12.000Z,Very cool,0,0,5
https://twitter.com/ZullupFromSpace/status/1422637327780831235,@ZullupFromSpace,2021-08-03T19:15:44.000Z,The captain of our hearts.  Created this ape for  @WhisEth  . Wish you guys a nice trip!  @BoredApeYC  #BAYC,9,14,94
https://twitter.com/NicolasGatica_/status/1422636342853480454,@NicolasGatica_,2021-08-03T19:11:50.000Z,"Hey Dylan i just wanted to tell you...... THIS IS THE FUTURE DUDE  So fucking amazing ",0,0,6
https://twitter.com/justlimp/status/1422634825400397826,@justlimp,2021-08-03T19:05:48.000Z,Today is gonna be a fun day for #nfts for sports. For #88 and for  @RealSupDucks  and  @GutterCatGang    O and I guess always  @BoredApeYC,0,1,16
https://twitter.com/DylanMayoral_/status/1422632449385943040,@DylanMayoral_,2021-08-03T18:56:21.000Z,"LADIES AND GENTLEMEN.. I present to you…   ‘The Trippy Dance’ NFT  Motion Capture:  @DylanMayoralNFT   Music by:  @boygnyus   3D Artist:  @danny_p3d   Ape:  @CapetainTrippy    @BoredApeYC    Dropping as a multi edition on ",26,85,290
https://twitter.com/realMikeyFields/status/1422632273464201219,@realMikeyFields,2021-08-03T18:55:39.000Z,"Well in a world of 8 billion people there are 10,000 unique Bored Apes being adopted at record rates.  Some say $22,000 for a floor priced Ape or even $40,000 for a nice Ape is crazy, I say crazy isn’t buying one now.  This is The Bored Ape Yacht Club! @BoredApeYC  #BAYC",7,16,80
https://twitter.com/NFTArtCritic/status/1422628229714698241,@NFTArtCritic,2021-08-03T18:39:35.000Z,I say we assemble  @RocketLeague  teams from the different projects and have a tournament. I'll help organize the  @the_vogu  team. We need someone to organize a  @BoredApeYC  team and whatever other notable projects there are. LFG  @NFTs $NFTs #CryptoArt,5,2,12
https://twitter.com/TrailerTrsh/status/1422627365054676993,@TrailerTrsh,2021-08-03T18:36:09.000Z,So much  happening here.,0,0,6
https://twitter.com/Lago_artist/status/1422626374045642759,@Lago_artist,2021-08-03T18:32:13.000Z,"Awesome piece! ",0,0,5
https://twitter.com/boredandsloppyj/status/1422625651920719882,@boredandsloppyj,2021-08-03T18:29:21.000Z,What's up fam!  Sloppy Joe here... set up this boring ass twitter a while ago and figured it was time for first tweet.  An unenthusiastic hello to all.   @BoredApeYC  #byac  @BoredApeGazette  #byac,14,7,64
https://twitter.com/byswickie/status/1422620817590870020,@byswickie,2021-08-03T18:10:08.000Z,"I'm delighted to share the origin story of larger-than-life Bored Ape &  @BoredApeYC  grantee  @JenkinsTheValet  on @PackripMedia! Read more about his game-changing Writer's Room NFT that launches tomorrow, August 4 at 7 pm EST.",4,22,44
https://twitter.com/GabrielJWeis/status/1422619043857641475,@GabrielJWeis,2021-08-03T18:03:05.000Z,Maybe my new favorite,1,1,8
https://twitter.com/8luemeth/status/1422617716213620739,@8luemeth,2021-08-03T17:57:49.000Z,"Excellent choice ",0,0,5
https://twitter.com/topshotfund/status/1422617398788726785,@topshotfund,2021-08-03T17:56:33.000Z,Kyle I think you'd like the piece I wrote shortly after BAYC sold out https://topshotfund.substack.com/p/bored-ape-yacht-club?r=l8ha4&utm_campaign=post&utm_medium=web&utm_source=copy…,0,0,5
https://twitter.com/earlywormart1/status/1422617383622094848,@earlywormart1,2021-08-03T17:56:29.000Z,Thank you so much for the support,0,0,5
https://twitter.com/homodeuseth/status/1422615404728422402,@homodeuseth,2021-08-03T17:48:38.000Z,10 Apes until 9 eth floor #BAYC  @BoredApeYC,1,1,13
https://twitter.com/Eurion2/status/1422614968617295874,@Eurion2,2021-08-03T17:46:54.000Z,My favorite ape is  @jessew_art  as he draws amazing samurai apes!,0,1,7
https://twitter.com/TheeHustleHouse/status/1422609431913668609,@TheeHustleHouse,2021-08-03T17:24:54.000Z,"I am so freakin' stoked right now to have ordered 2  @BoredApeYC  x  @weareround21  basketballs!  Who is going to be ready for a 3 or 3  @BoredApeYC  basketball tournament? Let's make it happen @JDGUSC,  @beijingdou ,  @peterjfang ,  @MELOD1P",1,2,9
https://twitter.com/dkloungeNFT/status/1422609402796859392,@dkloungeNFT,2021-08-03T17:24:47.000Z,Fellow apes  @danielgothits  and @ABigThingBadly put us on to  @MyCurioCards  weeks ago. Gems of alpha within the  @BoredApeYC  network on the regular,0,0,6
https://twitter.com/DigimentalLDN/status/1422608815753768962,@DigimentalLDN,2021-08-03T17:22:27.000Z,Shant   @shanterpster  / Fred Apestone  @DigimentalLDN  / Franklin   @ElectionDayMad1    Apes together strong  @BoredApeYC  @HouseofKibaa,10,24,143
https://twitter.com/POAPwiz/status/1422606794527068164,@POAPwiz,2021-08-03T17:14:25.000Z,@longbit3  @Loopifyyy  @JLukevich  @LovNft  @LoganOPzz  @thelonelyaliens  @LowEffortApes  @NFT_APE  @louachu2  @Dub_wizard  @half_ape  @TheWolfGangNFT  @Nft_is_future  @NFTDarling  @KikiNFT  @pranksyNFT  @gmoneyNFT  @nftfreaks  @nftbuzz_eth  @digitalartchick  @TravisTheApe  @BoredApeYC,0,0,6
https://twitter.com/JetSetTogether/status/1422606326602113032,@JetSetTogether,2021-08-03T17:12:33.000Z,Bought it off  @ElectionDayMad1  for .4 eth when the floor was around  .3  #9995,1,1,5
https://twitter.com/QualityNames_/status/1422605765714583556,@QualityNames_,2021-08-03T17:10:19.000Z,Do you want to gain the followers count ethically and morally correct way for your personal brand building??  Then buy  @BoredApeYC  and thank me later after a year  #BAYC #startups #startup #NFTs #business #DigitalMarketing #digitalhealth #Bitcoin,13,8,130
https://twitter.com/yup_io/status/1422605602942033920,@yup_io,2021-08-03T17:09:41.000Z," Social bookmarking is one of the best ways to curate   It incentivizes you to dive deeper into topics while providing quality curation for others  @AxieInfinity  @BoredApeYC  @coolcatsnft  @WeirdWhales  @larvalabs  @RealSupDucks  @pudgy_penguins  @ApeHarbour",1,5,21
https://twitter.com/AbhiramBangaru/status/1422595257007435776,@AbhiramBangaru,2021-08-03T16:28:34.000Z,I was there from day 1  bought my second ape right before one day of dog announcement,1,0,5
https://twitter.com/friesframe/status/1422595249591963648,@friesframe,2021-08-03T16:28:32.000Z,Made the pilgrimage to  @northpierbrew  to try the  @BoredApeYC  IPA,0,1,20
https://twitter.com/beijingdou/status/1422593871490465793,@beijingdou,2021-08-03T16:23:04.000Z,Lfg!,0,0,7
https://twitter.com/Ryder3332/status/1422593743501279234,@Ryder3332,2021-08-03T16:22:33.000Z,"When  @beijingdou  changed his PFP in late April/early May! ",1,1,4
https://twitter.com/0xvvp/status/1422592557859557378,@0xvvp,2021-08-03T16:17:50.000Z,@BoredApeYC  on Christies soon? Real or rumour?  Delist your apesssssssss,10,5,31
https://twitter.com/jessew_art/status/1422592267181830145,@jessew_art,2021-08-03T16:16:41.000Z,"Tonight 6:00pm est  @BushidoApes  is dropping our next colab with the amazing up and coming artist  @yamaroon_studio    I am so beyond stoked for this one I love these cute, chunky little alive samurai!!  50/50 .08eth  @BoredApeYC",5,14,45
